#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
._PGSC0003DMG400003357	._PGSC0003DMG400003357	PGSC0003DMG400003357	CIS_BP	1.1	PGSC0003DMG400003357	0	None	None	1	ABF1	None	BAF1_ABF1
M07030_3.00_PGSC0003DMG400000681	M07030_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07058_3.00_PGSC0003DMG400000681	M07058_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07059_3.00_PGSC0003DMG400000681	M07059_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07066_3.00_PGSC0003DMG400000681	M07066_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07068_3.00_PGSC0003DMG400000681	M07068_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07069_3.00_PGSC0003DMG400000681	M07069_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07075_3.00_PGSC0003DMG400000681	M07075_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07076_3.00_PGSC0003DMG400000681	M07076_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M10840_3.00_PGSC0003DMG400000681	M10840_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M10848_3.00_PGSC0003DMG400000681	M10848_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M10849_3.00_PGSC0003DMG400000681	M10849_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M10851_3.00_PGSC0003DMG400000681	M10851_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06975_3.00_PGSC0003DMG400000910	M06975_3.00_PGSC0003DMG400000910	PGSC0003DMG400000910	CIS_BP	1.1	PGSC0003DMG400000910	0	None	None	1	AP2	None	AP2
M06986_3.00_PGSC0003DMG400000910	M06986_3.00_PGSC0003DMG400000910	PGSC0003DMG400000910	CIS_BP	1.1	PGSC0003DMG400000910	0	None	None	1	AP2	None	AP2
M07006_3.00_PGSC0003DMG400000910	M07006_3.00_PGSC0003DMG400000910	PGSC0003DMG400000910	CIS_BP	1.1	PGSC0003DMG400000910	0	None	None	1	AP2	None	AP2
M07070_3.00_PGSC0003DMG400001343	M07070_3.00_PGSC0003DMG400001343	PGSC0003DMG400001343	CIS_BP	1.1	PGSC0003DMG400001343	0	None	None	1	AP2	None	AP2
M07071_3.00_PGSC0003DMG400001343	M07071_3.00_PGSC0003DMG400001343	PGSC0003DMG400001343	CIS_BP	1.1	PGSC0003DMG400001343	0	None	None	1	AP2	None	AP2
M01127_3.00_PGSC0003DMG400002185	M01127_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01182_3.00_PGSC0003DMG400002185	M01182_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01690_3.00_PGSC0003DMG400002185	M01690_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01698_3.00_PGSC0003DMG400002185	M01698_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01699_3.00_PGSC0003DMG400002185	M01699_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01701_3.00_PGSC0003DMG400002185	M01701_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01712_3.00_PGSC0003DMG400002185	M01712_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01725_3.00_PGSC0003DMG400002185	M01725_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01726_3.00_PGSC0003DMG400002185	M01726_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06967_3.00_PGSC0003DMG400002185	M06967_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06968_3.00_PGSC0003DMG400002185	M06968_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06978_3.00_PGSC0003DMG400002185	M06978_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06979_3.00_PGSC0003DMG400002185	M06979_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06991_3.00_PGSC0003DMG400002185	M06991_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M06992_3.00_PGSC0003DMG400002185	M06992_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07000_3.00_PGSC0003DMG400002185	M07000_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07001_3.00_PGSC0003DMG400002185	M07001_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07021_3.00_PGSC0003DMG400002185	M07021_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07022_3.00_PGSC0003DMG400002185	M07022_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07025_3.00_PGSC0003DMG400002185	M07025_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07026_3.00_PGSC0003DMG400002185	M07026_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07031_3.00_PGSC0003DMG400002185	M07031_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07032_3.00_PGSC0003DMG400002185	M07032_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07066_3.00_PGSC0003DMG400002185	M07066_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07068_3.00_PGSC0003DMG400002185	M07068_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07069_3.00_PGSC0003DMG400002185	M07069_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07075_3.00_PGSC0003DMG400002185	M07075_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M07076_3.00_PGSC0003DMG400002185	M07076_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M10826_3.00_PGSC0003DMG400002185	M10826_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M10827_3.00_PGSC0003DMG400002185	M10827_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M10840_3.00_PGSC0003DMG400002185	M10840_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M10851_3.00_PGSC0003DMG400002185	M10851_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M10855_3.00_PGSC0003DMG400002185	M10855_3.00_PGSC0003DMG400002185	PGSC0003DMG400002185	CIS_BP	1.1	PGSC0003DMG400002185	0	None	None	1	AP2	None	AP2
M01127_3.00_PGSC0003DMG400002191	M01127_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01182_3.00_PGSC0003DMG400002191	M01182_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01690_3.00_PGSC0003DMG400002191	M01690_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01698_3.00_PGSC0003DMG400002191	M01698_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01699_3.00_PGSC0003DMG400002191	M01699_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01701_3.00_PGSC0003DMG400002191	M01701_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01712_3.00_PGSC0003DMG400002191	M01712_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01725_3.00_PGSC0003DMG400002191	M01725_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M01726_3.00_PGSC0003DMG400002191	M01726_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06967_3.00_PGSC0003DMG400002191	M06967_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06968_3.00_PGSC0003DMG400002191	M06968_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06978_3.00_PGSC0003DMG400002191	M06978_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06979_3.00_PGSC0003DMG400002191	M06979_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06991_3.00_PGSC0003DMG400002191	M06991_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M06992_3.00_PGSC0003DMG400002191	M06992_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07000_3.00_PGSC0003DMG400002191	M07000_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07001_3.00_PGSC0003DMG400002191	M07001_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07021_3.00_PGSC0003DMG400002191	M07021_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07022_3.00_PGSC0003DMG400002191	M07022_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07025_3.00_PGSC0003DMG400002191	M07025_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07026_3.00_PGSC0003DMG400002191	M07026_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07031_3.00_PGSC0003DMG400002191	M07031_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07032_3.00_PGSC0003DMG400002191	M07032_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07066_3.00_PGSC0003DMG400002191	M07066_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07068_3.00_PGSC0003DMG400002191	M07068_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07069_3.00_PGSC0003DMG400002191	M07069_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07075_3.00_PGSC0003DMG400002191	M07075_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M07076_3.00_PGSC0003DMG400002191	M07076_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M10826_3.00_PGSC0003DMG400002191	M10826_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M10827_3.00_PGSC0003DMG400002191	M10827_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M10840_3.00_PGSC0003DMG400002191	M10840_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M10851_3.00_PGSC0003DMG400002191	M10851_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M10855_3.00_PGSC0003DMG400002191	M10855_3.00_PGSC0003DMG400002191	PGSC0003DMG400002191	CIS_BP	1.1	PGSC0003DMG400002191	0	None	None	1	AP2	None	AP2
M00914_3.00_PGSC0003DMG400002235	M00914_3.00_PGSC0003DMG400002235	PGSC0003DMG400002235	CIS_BP	1.1	PGSC0003DMG400002235	0	None	None	1	AP2	None	AP2
M01176_3.00_PGSC0003DMG400002235	M01176_3.00_PGSC0003DMG400002235	PGSC0003DMG400002235	CIS_BP	1.1	PGSC0003DMG400002235	0	None	None	1	AP2	None	AP2
